#GTR 10cm center-y
-13.8000 0. 13.8000
-13.1000 0. 13.1000
-13.8000 0. 13.8000
-13.1000 0. 13.1000
-13.8000 0. 13.8000
-13.1000 0. 13.1000
-13.8000 0. 13.8000
-13.1000 0. 13.1000
-13.8000 0. 13.8000
#GTR 20cm center-y
-27.6000 0. 27.6000 
-23.9572 0. 23.9572
-27.6000 0. 27.6000 
-23.9572 0. 23.9572
-27.6000 0. 27.6000 
-23.9572 0. 23.9572
-27.6000 0. 27.6000 
-23.9572 0. 23.9572
-27.6000 0. 27.6000 
#GTR 30cm center-y
-35.2409 0. 35.2409
-38.6119 0. 38.6119
-35.2409 0. 35.2409
-38.6119 0. 38.6119
-35.2409 0. 35.2409
-38.6119 0. 38.6119
-35.2409 0. 35.2409
-38.6119 0. 38.6119
-35.2409 0. 35.2409

#GTR 10cm center-z
23.80 23.80 23.80  
19.77 19.77 19.77 
23.80 23.80 23.80  
19.77 19.77 19.77 
23.80 23.80 23.80  
19.77 19.77 19.77 
23.80 23.80 23.80  
19.77 19.77 19.77 
23.80 23.80 23.80  
#GTR 20cm center-z
47.60 47.60 47.60
39.54 39.54 39.54
47.60 47.60 47.60
39.54 39.54 39.54
47.60 47.60 47.60
39.54 39.54 39.54
47.60 47.60 47.60
39.54 39.54 39.54
47.60 47.60 47.60
#GTR 30cm center-z
63.6028 63.6028 63.6028 
59.31 59.31 59.31 
63.6028 63.6028 63.6028 
59.31 59.31 59.31 
63.6028 63.6028 63.6028 
59.31 59.31 59.31 
63.6028 63.6028 63.6028 
59.31 59.31 59.31 
63.6028 63.6028 63.6028 

#HBD center-y
-74.61 0. 74.61
-74.61 0. 74.61
-74.61 0. 74.61
-74.61 0. 74.61
-74.61 0. 74.61
-74.61 0. 74.61
-74.61 0. 74.61
-74.61 0. 74.61
-74.61 0. 74.61

#HBD center-z
120. 120. 120. 
120. 120. 120. 
120. 120. 120. 
120. 120. 120. 
120. 120. 120. 
120. 120. 120. 
120. 120. 120. 
120. 120. 120. 
120. 120. 120. 

#GTR angle
116.135 116.135 116.135
88.82 88.82 88.82
61.505 61.505 61.505
34.19 34.19 34.19
  0.00   0.00   0.00
-34.19 -34.19 -34.19
-61.505 -61.505 -61.505
-88.82 -88.82 -88.82
-116.135 -116.135 -116.135
