#GTR 10cm center-y
-13.4000 0. 13.4000
-13.4000 0. 13.4000
-13.4000 0. 13.4000
-13.4000 0. 13.4000
-13.4000 0. 13.4000
-13.4000 0. 13.4000
-13.4000 0. 13.4000
-13.4000 0. 13.4000
-13.4000 0. 13.4000
#GTR 20cm center-y
-25.6556 0. 25.6556 
-27.7953 0. 27.7953
-25.6556 0. 25.6556 
-27.7953 0. 27.7953
-25.6556 0. 25.6556 
-27.7953 0. 27.7953
-25.6556 0. 25.6556 
-27.7953 0. 27.7953
-25.6556 0. 25.6556 
#GTR 30cm center-y
-37.9744 0. 37.9744
-42.2217 0. 42.2217
-37.9744 0. 37.9744
-42.2217 0. 42.2217
-37.9744 0. 37.9744
-42.2217 0. 42.2217
-37.9744 0. 37.9744
-42.2217 0. 42.2217
-37.9744 0. 37.9744

#GTR 10cm center-z
22.6009 22.6009 22.6009 
19.1968 19.1968 19.1968 
22.6009 22.6009 22.6009 
19.1968 19.1968 19.1968 
22.6009 22.6009 22.6009 
19.1968 19.1968 19.1968 
22.6009 22.6009 22.6009 
19.1968 19.1968 19.1968 
22.6009 22.6009 22.6009 
#GTR 20cm center-z
43.2341 43.2341 43.2341
39.8195 39.8195 39.8195
43.2341 43.2341 43.2341
39.8195 39.8195 39.8195
43.2341 43.2341 43.2341
39.8195 39.8195 39.8195
43.2341 43.2341 43.2341
39.8195 39.8195 39.8195
43.2341 43.2341 43.2341
#GTR 30cm center-z
63.9434 63.9434 63.9434
60.4868 60.4868 60.4868
63.9434 63.9434 63.9434
60.4868 60.4868 60.4868
63.9434 63.9434 63.9434
60.4868 60.4868 60.4868
63.9434 63.9434 63.9434
60.4868 60.4868 60.4868
63.9434 63.9434 63.9434

#HBD center-y
-74.61 0. 74.61
-74.61 0. 74.61
-74.61 0. 74.61
-74.61 0. 74.61
-74.61 0. 74.61
-74.61 0. 74.61
-74.61 0. 74.61
-74.61 0. 74.61
-74.61 0. 74.61

#HBD center-z
125.5 125.5 125.5 
125.5 125.5 125.5 
125.5 125.5 125.5 
125.5 125.5 125.5 
125.5 125.5 125.5 
125.5 125.5 125.5 
125.5 125.5 125.5 
125.5 125.5 125.5 
125.5 125.5 125.5 
