#GTR 10cm center-z
21.4500 22.6009 21.4500 
24.9262 19.1968 24.9262 
21.4500 22.6009 21.4500
24.9262 19.1968 24.9262
21.4500 22.6009 21.4500
24.9262 19.1968 24.9262
21.4500 22.6009 21.4500
24.9262 19.1968 24.9262
21.4500 22.6009 21.4500
#GTR 20cm center-z
42.7800 43.2341 42,7800
46.5282 39.8195 46.5282
42.7800 43.2341 42,7800
46.5282 39.8195 46.5282
42.7800 43.2341 42,7800
46.5282 39.8195 46.5282
42.7800 43.2341 42,7800
46.5282 39.8195 46.5282
42.7800 43.2341 42,7800
#GTR 30cm center-z
60.9496 63.9434 60.9496
65.2167 60.4868 65.2167
60.9496 63.9434 60.9496
65.2167 60.4868 65.2167
60.9496 63.9434 60.9496
65.2167 60.4868 65.2167
60.9496 63.9434 60.9496
65.2167 60.4868 65.2167
60.9496 63.9434 60.9496

