#ip-address apv-chip-id apv-pad-id module-id pin-id pad-id
192.168.35.18 12 0 101 0 -1
192.168.35.18 13 0 101 0 -1
192.168.35.18 14 0 101 0 -1
192.168.35.18 15 0 101 0 -1
192.168.35.18 16 0 101 0 -1
192.168.35.18 17 0 101 0 -1
192.168.35.18 18 0 101 0 -1
192.168.35.18 19 0 101 0 -1
192.168.35.18 20 0 101 0 -1
192.168.35.18 21 0 101 0 -1
192.168.35.18 22 0 101 0 -1
192.168.35.18 23 0 101 0 -1
192.168.35.18 0 0 102 0 -1
192.168.35.18 1 0 102 0 -1
192.168.35.18 2 0 102 0 -1
192.168.35.18 3 0 102 0 -1
192.168.35.18 4 0 102 0 -1
192.168.35.18 5 0 102 0 -1
192.168.35.18 6 0 102 0 -1
192.168.35.18 7 0 102 0 -1
192.168.35.18 8 0 102 0 -1
192.168.35.18 9 0 102 0 -1
192.168.35.18 10 0 102 0 -1
192.168.35.18 11 0 102 0 -1
192.168.35.17 12 0 103 0 -1
192.168.35.17 13 0 103 0 -1
192.168.35.17 14 0 103 0 -1
192.168.35.17 15 0 103 0 -1
192.168.35.17 16 0 103 0 -1
192.168.35.17 17 0 103 0 -1
192.168.35.17 18 0 103 0 -1
192.168.35.17 19 0 103 0 -1
192.168.35.17 20 0 103 0 -1
192.168.35.17 21 0 103 0 -1
192.168.35.17 22 0 103 0 -1
192.168.35.17 23 0 103 0 -1
192.168.35.17 0 0 104 0 -1
192.168.35.17 1 0 104 0 -1
192.168.35.17 2 0 104 0 -1
192.168.35.17 3 0 104 0 -1
192.168.35.17 4 0 104 0 -1
192.168.35.17 5 0 104 0 -1
192.168.35.17 6 0 104 0 -1
192.168.35.17 7 0 104 0 -1
192.168.35.17 8 0 104 0 -1
192.168.35.17 9 0 104 0 -1
192.168.35.17 10 0 104 0 -1
192.168.35.17 11 0 104 0 -1
192.168.35.71 0 0 106 0 -1
192.168.35.71 1 0 106 0 -1
192.168.35.71 2 0 106 0 -1
192.168.35.71 3 0 106 0 -1
192.168.35.71 4 0 106 0 -1
192.168.35.71 5 0 106 0 -1
192.168.35.71 6 0 106 0 -1
192.168.35.71 7 0 106 0 -1
192.168.35.71 8 0 106 0 -1
192.168.35.71 9 0 106 0 -1
192.168.35.71 10 0 106 0 -1
192.168.35.71 11 0 106 0 -1
192.168.35.71 12 0 107 0 -1
192.168.35.71 13 0 107 0 -1
192.168.35.71 14 0 107 0 -1
192.168.35.71 15 0 107 0 -1
192.168.35.71 16 0 107 0 -1
192.168.35.71 17 0 107 0 -1
192.168.35.71 18 0 107 0 -1
192.168.35.71 19 0 107 0 -1
192.168.35.71 20 0 107 0 -1
192.168.35.71 21 0 107 0 -1
192.168.35.71 22 0 107 0 -1
192.168.35.71 23 0 107 0 -1
192.168.35.72 0 0 108 0 -1
192.168.35.72 1 0 108 0 -1
192.168.35.72 2 0 108 0 -1
192.168.35.72 3 0 108 0 -1
192.168.35.72 4 0 108 0 -1
192.168.35.72 5 0 108 0 -1
192.168.35.72 6 0 108 0 -1
192.168.35.72 7 0 108 0 -1
192.168.35.72 8 0 108 0 -1
192.168.35.72 9 0 108 0 -1
192.168.35.72 10 0 108 0 -1
192.168.35.72 11 0 108 0 -1
192.168.35.72 20 0 109 0 -1
192.168.35.72 21 0 109 0 -1
192.168.35.72 14 0 109 0 -1
192.168.35.72 15 0 109 0 -1
192.168.35.72 16 0 109 0 -1
192.168.35.72 17 0 109 0 -1
192.168.35.72 18 0 109 0 -1
192.168.35.72 19 0 109 0 -1
192.168.35.72 12 0 109 0 -1
192.168.35.72 13 0 109 0 -1
192.168.35.72 22 0 109 0 -1
192.168.35.72 23 0 109 0 -1
192.168.35.18 12 32 101 32 308
192.168.35.18 13 32 101 32 303
192.168.35.18 14 32 101 32 318
192.168.35.18 15 32 101 32 313
192.168.35.18 16 32 101 32 607
192.168.35.18 17 32 101 32 802
192.168.35.18 18 32 101 32 617
192.168.35.18 19 32 101 32 812
192.168.35.18 20 32 101 32 1066
192.168.35.18 21 32 101 32 1061
192.168.35.18 22 32 101 32 1076
192.168.35.18 23 32 101 32 1071
192.168.35.18 0 32 102 32 308
192.168.35.18 1 32 102 32 303
192.168.35.18 2 32 102 32 318
192.168.35.18 3 32 102 32 313
192.168.35.18 4 32 102 32 607
192.168.35.18 5 32 102 32 802
192.168.35.18 6 32 102 32 617
192.168.35.18 7 32 102 32 812
192.168.35.18 8 32 102 32 1066
192.168.35.18 9 32 102 32 1061
192.168.35.18 10 32 102 32 1076
192.168.35.18 11 32 102 32 1071
192.168.35.17 12 32 103 32 1071
192.168.35.17 13 32 103 32 1076
192.168.35.17 14 32 103 32 1061
192.168.35.17 15 32 103 32 1066
192.168.35.17 16 32 103 32 812
192.168.35.17 17 32 103 32 617
192.168.35.17 18 32 103 32 802
192.168.35.17 19 32 103 32 607
192.168.35.17 20 32 103 32 313
192.168.35.17 21 32 103 32 318
192.168.35.17 22 32 103 32 303
192.168.35.17 23 32 103 32 308
192.168.35.17 0 32 104 32 308
192.168.35.17 1 32 104 32 303
192.168.35.17 2 32 104 32 318
192.168.35.17 3 32 104 32 313
192.168.35.17 4 32 104 32 607
192.168.35.17 5 32 104 32 802
192.168.35.17 6 32 104 32 617
192.168.35.17 7 32 104 32 812
192.168.35.17 8 32 104 32 1066
192.168.35.17 9 32 104 32 1061
192.168.35.17 10 32 104 32 1076
192.168.35.17 11 32 104 32 1071
192.168.35.71 0 32 106 32 1066
192.168.35.71 1 32 106 32 1061
192.168.35.71 2 32 106 32 1076
192.168.35.71 3 32 106 32 1071
192.168.35.71 4 32 106 32 802
192.168.35.71 5 32 106 32 607
192.168.35.71 6 32 106 32 812
192.168.35.71 7 32 106 32 617
192.168.35.71 8 32 106 32 308
192.168.35.71 9 32 106 32 303
192.168.35.71 10 32 106 32 318
192.168.35.71 11 32 106 32 313
192.168.35.71 12 32 107 32 1066
192.168.35.71 13 32 107 32 1061
192.168.35.71 14 32 107 32 1076
192.168.35.71 15 32 107 32 1071
192.168.35.71 16 32 107 32 802
192.168.35.71 17 32 107 32 607
192.168.35.71 18 32 107 32 812
192.168.35.71 19 32 107 32 617
192.168.35.71 20 32 107 32 308
192.168.35.71 21 32 107 32 303
192.168.35.71 22 32 107 32 318
192.168.35.71 23 32 107 32 313
192.168.35.72 0 32 108 32 1066
192.168.35.72 1 32 108 32 1061
192.168.35.72 2 32 108 32 1076
192.168.35.72 3 32 108 32 1071
192.168.35.72 4 32 108 32 802
192.168.35.72 5 32 108 32 607
192.168.35.72 6 32 108 32 812
192.168.35.72 7 32 108 32 617
192.168.35.72 8 32 108 32 308
192.168.35.72 9 32 108 32 303
192.168.35.72 10 32 108 32 318
192.168.35.72 11 32 108 32 313
192.168.35.72 20 32 109 32 1066
192.168.35.72 21 32 109 32 1061
192.168.35.72 14 32 109 32 1076
192.168.35.72 15 32 109 32 1071
192.168.35.72 16 32 109 32 802
192.168.35.72 17 32 109 32 607
192.168.35.72 18 32 109 32 812
192.168.35.72 19 32 109 32 617
192.168.35.72 12 32 109 32 308
192.168.35.72 13 32 109 32 303
192.168.35.72 22 32 109 32 318
192.168.35.72 23 32 109 32 313
192.168.35.18 12 64 101 64 247
192.168.35.18 13 64 101 64 242
192.168.35.18 14 64 101 64 257
192.168.35.18 15 64 101 64 252
192.168.35.18 16 64 101 64 624
192.168.35.18 17 64 101 64 745
192.168.35.18 18 64 101 64 634
