h	EX4	1	X0	100
h	EX5	1	X1	100
h	EX1	1	X2	100
h	EX2	1	X3	100
i	EX4	1	X4	200
i	EX5	1	X5	200
h	EX6	1	Y0	200
b	EX6	1	Y1	200
c	EX6	1	Y2	200
c	EX3	1	Y3	200
b	EX3	1	Y4	200
h	EX3	1	Y5	200
g	EX4	2	X0	200
g	EX5	2	X1	200
c	EX1	2	X2	200
c	EX2	2	X3	200
c	EX4	2	X4	300
c	EX5	2	X5	300
b	EX1	2	X6	250
b	EX2	2	X7	250
b	EX4	2	X8	250
b	EX5	2	X9	250
i	EX1	2	X10	400
i	EX2	2	X11	400
d	EX6	2	Y0	300
f	EX6	2	Y1	350
d	EX3	2	Y2	450
i	EX3	2	Y3	200
i	EX6	2	Y4	200
d	EX2	3	X0	200
d	EX1	3	X1	200
f	EX2	3	X2	200
f	EX1	3	X3	200
d	EX5	3	X4	200
d	EX4	3	X5	200
f	EX5	3	X6	200
f	EX4	3	X7	200
g	EX1	3	X8	200
g	EX2	3	X9	200
e	EX1	3	X10	200
e	EX2	3	X11	200
e	EX4	3	X12	200
e	EX5	3	X13	200
a	EX5	3	X14	200
a	EX4	3	X15	200
a	EX2	3	X16	200
a	EX1	3	X17	200
a	EX6	3	Y0	350
a	EX3	3	Y1	400
f	EX3	3	Y2	400
e	EX6	3	Y3	400
g	EX6	3	Y4	450
e	EX3	3	Y5	450
g	EX3	3	Y6	500
m	EX1	1	X0	100
k	EX1	1	X1	100
k	EX2	1	X2	100
k	EX4	1	X3	100
k	EX5	1	X4	200
m	EX2	1	X5	200
m	EX4	1	Y0	200
m	EX5	1	Y1	200
m	EX6	1	Y2	200
m	EX3	1	Y3	200
k	EX3	1	Y4	200
k	EX6	1	Y5	200
l	EX1	2	X0	200
l	EX2	2	X1	200
n	EX5	2	X2	200
n	EX4	2	X3	200
n	EX2	2	X4	300
n	EX1	2	X5	300
o	EX4	2	X6	250
o	EX5	2	X7	250
o	EX2	2	X8	250
o	EX1	2	X9	250
l	EX4	2	X10	400
l	EX5	2	X11	400
n	EX6	2	Y0	300
n	EX3	2	Y1	350
o	EX6	2	Y2	450
o	EX3	2	Y3	200
l	EX3	2	Y4	200
j	EX1	3	X4	200
j	EX2	3	X5	200
j	EX3	3	Y1	200
j	EX4	3	X6	200
j	EX5	3	X7	200
j	EX6	3	Y3	200
p	EX1	3	X8	200
p	EX2	3	X9	200
p	EX3	3	Y5	200
p	EX4	3	X10	200
p	EX5	3	X11	200
q	EX1	3	X0	200
q	EX2	3	X1	200
q	EX3	3	Y0	200
q	EX4	3	X2	200
q	EX5	3	X3	200
q	EX6	3	Y2	200
r	EX1	3	X12	200
r	EX2	3	X13	200
r	EX3	3	Y4	200
r	EX4	3	X14	200
r	EX5	3	X15	200
r	EX6	3	Y6	200
