#ip-address apv-chip-id apv-multiplexer-out module-id pin-id pad-id
192.168.35.17 0 0 104 0 -1
192.168.35.17 1 0 104 0 -1
192.168.35.17 2 0 104 0 -1
192.168.35.17 3 0 104 0 -1
192.168.35.17 4 0 104 0 -1
192.168.35.17 5 0 104 0 -1
192.168.35.17 6 0 104 0 -1
192.168.35.17 7 0 104 0 -1
192.168.35.17 8 0 104 0 -1
192.168.35.17 9 0 104 0 -1
192.168.35.17 10 0 104 0 -1
192.168.35.17 11 0 104 0 -1
192.168.35.17 12 0 103 0 -1
192.168.35.17 13 0 103 0 -1
192.168.35.17 14 0 103 0 -1
192.168.35.17 15 0 103 0 -1
192.168.35.17 16 0 -1 0 -1
192.168.35.17 17 0 -1 0 -1
192.168.35.17 18 0 -1 0 -1
192.168.35.17 19 0 -1 0 -1
192.168.35.17 20 0 -1 0 -1
192.168.35.17 21 0 -1 0 -1
192.168.35.17 22 0 -1 0 -1
192.168.35.17 23 0 -1 0 -1
192.168.35.18 0 0 103 0 -1
192.168.35.18 1 0 103 0 -1
192.168.35.18 2 0 103 0 -1
192.168.35.18 3 0 103 0 -1
192.168.35.18 4 0 103 0 -1
192.168.35.18 5 0 103 0 -1
192.168.35.18 6 0 103 0 -1
192.168.35.18 7 0 103 0 -1
192.168.35.18 8 0 106 0 -1
192.168.35.18 9 0 106 0 -1
192.168.35.18 10 0 106 0 -1
192.168.35.18 11 0 106 0 -1
192.168.35.18 12 0 106 0 -1
192.168.35.18 13 0 106 0 -1
192.168.35.18 14 0 106 0 -1
192.168.35.18 15 0 106 0 -1
192.168.35.18 16 0 -1 0 -1
192.168.35.18 17 0 -1 0 -1
192.168.35.18 18 0 -1 0 -1
192.168.35.18 19 0 -1 0 -1
192.168.35.18 20 0 -1 0 -1
192.168.35.18 21 0 -1 0 -1
192.168.35.18 22 0 -1 0 -1
192.168.35.18 23 0 -1 0 -1
192.168.35.19 0 0 106 0 -1
192.168.35.19 1 0 106 0 -1
192.168.35.19 2 0 106 0 -1
192.168.35.19 3 0 106 0 -1
192.168.35.19 4 0 107 0 -1
192.168.35.19 5 0 107 0 -1
192.168.35.19 6 0 107 0 -1
192.168.35.19 7 0 107 0 -1
192.168.35.19 8 0 107 0 -1
192.168.35.19 9 0 107 0 -1
192.168.35.19 10 0 107 0 -1
192.168.35.19 11 0 107 0 -1
192.168.35.19 12 0 107 0 -1
192.168.35.19 13 0 107 0 -1
192.168.35.19 14 0 107 0 -1
192.168.35.19 15 0 107 0 -1
192.168.35.19 16 0 -1 0 -1
192.168.35.19 17 0 -1 0 -1
192.168.35.19 18 0 -1 0 -1
192.168.35.19 19 0 -1 0 -1
192.168.35.19 20 0 -1 0 -1
192.168.35.19 21 0 -1 0 -1
192.168.35.19 22 0 -1 0 -1
192.168.35.19 23 0 -1 0 -1
192.168.35.17 0 1 104 32 308
192.168.35.17 1 1 104 32 303
192.168.35.17 2 1 104 32 318
192.168.35.17 3 1 104 32 313
192.168.35.17 4 1 104 32 607
192.168.35.17 5 1 104 32 802
192.168.35.17 6 1 104 32 617
192.168.35.17 7 1 104 32 812
192.168.35.17 8 1 104 32 1066
192.168.35.17 9 1 104 32 1061
192.168.35.17 10 1 104 32 1076
192.168.35.17 11 1 104 32 1071
192.168.35.17 12 1 103 32 1071
192.168.35.17 13 1 103 32 1076
192.168.35.17 14 1 103 32 1061
192.168.35.17 15 1 103 32 1066
192.168.35.17 16 1 -1 32 -1
192.168.35.17 17 1 -1 32 -1
192.168.35.17 18 1 -1 32 -1
192.168.35.17 19 1 -1 32 -1
192.168.35.17 20 1 -1 32 -1
192.168.35.17 21 1 -1 32 -1
192.168.35.17 22 1 -1 32 -1
192.168.35.17 23 1 -1 32 -1
192.168.35.18 0 1 103 32 812
192.168.35.18 1 1 103 32 617
192.168.35.18 2 1 103 32 802
192.168.35.18 3 1 103 32 607
192.168.35.18 4 1 103 32 313
192.168.35.18 5 1 103 32 318
192.168.35.18 6 1 103 32 303
192.168.35.18 7 1 103 32 308
192.168.35.18 8 1 106 32 1066
192.168.35.18 9 1 106 32 1061
192.168.35.18 10 1 106 32 1076
192.168.35.18 11 1 106 32 1071
192.168.35.18 12 1 106 32 802
192.168.35.18 13 1 106 32 607
192.168.35.18 14 1 106 32 812
192.168.35.18 15 1 106 32 617
192.168.35.18 16 1 -1 32 -1
192.168.35.18 17 1 -1 32 -1
192.168.35.18 18 1 -1 32 -1
192.168.35.18 19 1 -1 32 -1
192.168.35.18 20 1 -1 32 -1
192.168.35.18 21 1 -1 32 -1
192.168.35.18 22 1 -1 32 -1
192.168.35.18 23 1 -1 32 -1
192.168.35.19 0 1 106 32 308
192.168.35.19 1 1 106 32 303
192.168.35.19 2 1 106 32 318
192.168.35.19 3 1 106 32 313
192.168.35.19 4 1 107 32 1066
192.168.35.19 5 1 107 32 1061
192.168.35.19 6 1 107 32 1076
192.168.35.19 7 1 107 32 1071
192.168.35.19 8 1 107 32 802
192.168.35.19 9 1 107 32 607
192.168.35.19 10 1 107 32 812
192.168.35.19 11 1 107 32 617
192.168.35.19 12 1 107 32 308
192.168.35.19 13 1 107 32 303
192.168.35.19 14 1 107 32 318
