# IP_address    Detector_name    Mezzanine_ID
192.168.35.17             HBD               0
192.168.35.18             HBD               1
192.168.35.71             HBD               2
192.168.35.72             HBD               3
192.168.35.19             GTR               0
192.168.35.20             GTR               1
192.168.35.65             GTR               7
192.168.35.66             GTR               2
192.168.35.67             GTR               3
192.168.35.68             GTR               4
192.168.35.69             GTR               5
192.168.35.70             GTR               6
